Country,HDI,Life expectancy,Expected years of schooling,Mean years of schooling,GNI per capita,HDI rank,Fertility rate
Chile,0.86,79.519,16.76792908,11.11136804,24430.99593,44,1.539
Hungary,0.851,74.958,15.07330036,12.24958992,34195.54059,47,1.52
Argentina,0.849,76.064,18.97950935,11.14408016,22047.97131,48,1.876
Kuwait,0.847,80.264,15.6911416,7.441742908,56729.18152,49,2.092
Montenegro,0.844,76.845,15.08475971,12.61621288,22513.26314,50,1.8
Uruguay,0.83,78,17.35183907,9.058219782,22206.99029,52,1.483
Romania,0.827,74.117,14.50753021,11.36019615,31641.38368,53,1.81
Antigua and Barbuda,0.826,79.236,15.51232774,10.54622968,18783.96536,54,1.58
Brunei Darussalam,0.823,74.551,13.69861984,9.22,59245.63485,55,1.764
Russian Federation,0.821,70.116,15.66174936,12.41152954,26991.84961,56,1.416
Bahamas,0.82,74.358,11.89137971,12.73161494,32534.88784,57,1.38
Panama,0.82,76.826,13.21381473,10.68696295,32029.36025,57,2.297
Oman,0.819,73.935,12.96403027,11.89274979,32967.43827,59,2.567
Georgia,0.814,71.587,16.72682953,12.70217037,15952.02452,60,2.063
Trinidad and Tobago,0.814,74.708,14.1010764,11.73800258,22473.03876,60,1.614
Barbados,0.809,77.706,16.53069367,9.89206168,14810.23783,62,1.634
Malaysia,0.807,76.26,12.93247032,10.74828052,27295.41224,63,1.787
Costa Rica,0.806,77.32,16.09200378,8.804059982,20248.38031,64,1.522
Serbia,0.805,74.137,14.50444031,11.5047611,19494.00891,65,1.63
Thailand,0.803,79.68,15.58131027,8.834560711,16886.51113,66,1.317
Kazakhstan,0.802,69.489,14.81626987,12.43337895,22586.79889,67,3.05
Seychelles,0.802,71.738,13.89179039,11.19995,28385.74806,67,2.32
Belarus,0.801,73.246,13.98153019,12.24122445,18425.01061,69,1.495
Bulgaria,0.799,71.528,13.86802959,11.41318035,25920.80375,70,1.78
Mauritius,0.796,73.975,14.61009979,9.992049863,23251.62071,72,1.32
Grenada,0.793,75.335,16.58226156,9.85796464,13593.24958,73,1.986
Albania,0.789,76.833,14.48746967,10.12114431,15293.32651,74,1.376
China,0.788,78.587,15.21793605,8.106910446,18024.88747,75,1.175
Armenia,0.786,73.372,14.40561008,11.33030033,15388.29976,76,1.575
Mexico,0.781,74.832,14.50529957,9.221050262,19138.00726,77,1.803
Iran (Islamic Republic of),0.78,74.556,14.11717033,10.74618321,14770.32307,78,1.681
Sri Lanka,0.78,76.61,13.64182201,11.24960995,11899.49847,78,1.974
Bosnia and Herzegovina,0.779,75.293,13.27705956,10.53631973,16571.41275,80,1.346
Dominican Republic,0.766,74.17,13.55698967,9.150526383,18653.26836,82,2.247
Ecuador,0.765,77.894,14.86483955,8.969750404,10693.23484,83,2.003
North Macedonia,0.765,73.888,13.00483036,10.22815037,16395.75173,83,1.6
Cuba,0.764,78.155,14.46930027,10.54807197,7953.448426,85,1.449
Moldova (Republic of),0.763,68.621,14.90598011,11.8338152,12963.61829,86,1.8
Maldives,0.762,80.839,12.17795095,7.762392544,18846.79219,87,1.678
Peru,0.762,73.385,14.80487907,10.01696229,11916.35952,87,2.164
Azerbaijan,0.76,73.488,12.71063042,10.55612992,15018.05443,89,1.67
Brazil,0.76,73.425,15.5788002,8.278307638,14615.89235,89,1.626
Colombia,0.758,73.659,14.43749046,8.862859726,15013.92724,91,1.692
Libya,0.746,72.151,13.977117,7.77860643,19751.56758,92,2.402
Algeria,0.745,77.129,15.48787975,6.987443608,10978.40571,93,2.829
Turkmenistan,0.744,69.41,13.24057961,11.14299353,12859.87406,94,2.617
Guyana,0.742,65.989,13.02205765,8.627408726,35782.90961,95,2.369
Mongolia,0.741,72.667,14.51719515,9.423700333,10350.86141,96,2.774
Dominica,0.74,72.981,13.55048385,9.1863441,12467.85548,97,1.588
Tonga,0.739,71.27,16.28749084,10.88028609,6360.178905,98,3.193
Jordan,0.736,74.215,12.62659427,10.44668007,9294.801499,99,2.786
Ukraine,0.734,68.564,13.32800961,11.12330123,11416.2168,100,1.265
Tunisia,0.732,74.263,14.61953746,7.953393173,10296.6496,101,2.064
Marshall Islands,0.731,65.146,16.38606071,12.81836718,6855.234566,102,2.672
Paraguay,0.731,70.475,13.91056957,8.861840248,13161.07522,102,2.444
Fiji,0.729,68.312,13.84869,10.37096977,11233.65882,104,2.462
Egypt,0.728,70.159,12.91180992,9.84810224,12360.8163,105,2.878
Uzbekistan,0.727,71.674,11.99291039,11.91114998,8055.910265,106,3.308
Viet Nam,0.726,74.58,13.05294705,8.455348794,10813.98273,107,1.941
Lebanon,0.723,74.416,12.05109224,8.602969077,12313.42257,109,2.08
South Africa,0.717,61.48,14.26364994,11.60696983,13185.56419,110,2.341
Indonesia,0.713,68.25,13.97573724,8.556509972,12045.56544,112,2.153
Philippines,0.71,72.187,12.78335953,8.971409559,9058.840558,113,2.725
Botswana,0.708,65.913,11.42568016,10.42,14841.57836,114,2.754
Jamaica,0.706,70.629,12.45977059,9.248188719,9694.522766,115,1.34
Samoa,0.702,72.598,12.4364,11.36735585,4970.232074,116,3.875
